German,Arabic,Pronunciation,Article,Plural,Type,Level,Tags,Status,Mastery,Quality Issues
die USA,الولايات المتحدة الأمريكية,دي وزا,die,,noun,,,new,0,
die Variation,التباين,دي فارياتسيون,die,,noun,,,new,0,
die Verabredung,الموعد,دي فرابرِدونغ,die,,noun,,,new,0,
die Veranstaltung,الحدث,دي فرانزتالتونغ,die,,noun,,,new,0,
die Verkäuferin,البائعة,دي فركأويفرين,die,,noun,,,new,0,
die Vermieterin,صاحبة المنزل,دي فرميترين,die,,noun,,,new,0,
die Vernetzung,التواصل الشبكي,دي فرنِتسونغ,die,,noun,,,new,0,
die Verpackung,التغليف,دي فرباكونغ,die,,noun,,,new,0,
die Verspätung,التأخير,دي فرزبيتونغ,die,,noun,,,new,0,
die Verwaltung,الإدارة,دي فرفالتونغ,die,,noun,,,new,0,
die Verwendung,الاستخدام,دي فرفندونغ,die,,noun,,,new,0,
die Videokonferenz,مؤتمر الفيديو,دي فيدِوكونفرنتس,die,,noun,,,new,0,
die Vokabel,المفردات,دي فوكابل,die,,noun,,,new,0,
die Vorbereitung,التحضير,دي فوربرآيتونغ,die,,noun,,,new,0,
die Vorlesung,المحاضرة,دي فورلِزونغ,die,,noun,,,new,0,
die Vorliebe,التفضيل,دي فورليبه,die,,noun,,,new,0,
die VR-Brille,نظارات الواقع الافتراضي,دي فر-بريلله,die,,noun,,,new,0,
die W-Frage,سؤال W,دي ف-فراغه,die,,noun,,,new,0,
die Ware,البضائع,دي فاره,die,,noun,,,new,0,
die Waschmaschine,الغسالة,دي فاشماشينه,die,,noun,,,new,0,
die Web-Adresse,عنوان الموقع الإلكتروني,دي فِب-ادرِززه,die,,noun,,,new,0,
die Webseite,الموقع الإلكتروني,دي فِبزآيته,die,,noun,,,new,0,
die Wechselpräposition,حرف الجر Wechsel,دي فِشزلبريبوزيتسيون,die,,noun,,,new,0,
die Wegbeschreibung,التعليمات,دي فِغبهشرآيبونغ,die,,noun,,,new,0,
die Weise,الطريق,دي فآيزه,die,,noun,,,new,0,
die Weltreise,رحلة حول العالم,دي فلترآيزه,die,,noun,,,new,0,
die Werbeagentur,وكالة الإعلان,دي فربهاغنتور,die,,noun,,,new,0,
die WG,الشقة المشتركة,دي فغ,die,,noun,,,new,0,
die Winterjacke,السترة الشتوية,دي فينترياكه,die,,noun,,,new,0,
die Woche,الأسبوع,دي فوخه,die,,noun,,,new,0,
die Wohn-Situation,الوضع المعيشي,دي فوهن-زيتواتسيون,die,,noun,,,new,0,
die Wohnfläche,مساحة المعيشة,دي فوهنفليشه,die,,noun,,,new,0,
die Wohnform,نوع السكن,دي فوهنفورم,die,,noun,,,new,0,
die Wohnungsanzeige,إعلان الشقة,دي فوهنونغزانتسآيغه,die,,noun,,,new,0,
die Wohnungssuche,البحث عن شقة,دي فوهنونغززوخه,die,,noun,,,new,0,
die Wolke,السحابة,دي فولكه,die,,noun,,,new,0,
die Wortgruppe,مجموعة الكلمات,دي فورتغروببه,die,,noun,,,new,0,
die Wortliste,قائمة الكلمات,دي فورتليزته,die,,noun,,,new,0,
die Wunde,الجرح,دي فونده,die,,noun,,,overdue,30,
die Wurst,النقانق,دي فورزت,die,,noun,,,new,0,
die Währung,العملة,دي فيهرونغ,die,,noun,,,new,0,
die Zahl,الرقم,دي تساهل,die,,noun,,,new,0,
die Zahnschmerzen,ألم الأسنان,دي تساهنشمرتسن,die,,noun,,,new,0,
die Zahnärztin,طبيب الأسنان,دي تساهنيرتستين,die,,noun,,,new,0,
die Zeichnung,الرسم,دي تسآيشنونغ,die,,noun,,,new,0,
die Zeile,الخط,دي تسآيله,die,,noun,,,new,0,
die Zeit,الوقت,دي تسآيت,die,,noun,,,new,0,
die Zeitangabe,مؤشر الوقت,دي تسآيتانغابه,die,,noun,,,new,0,
die Zeitschrift,المجلة,دي تسآيتشريفت,die,,noun,,,new,0,
die Zeitung,الصحيفة,دي تسآيتونغ,die,,noun,,,new,0,
die Zigarette,السيجارة,دي تسيغارِتته,die,,noun,,,new,0,
die Zugverbindung,وصلة القطار,دي تسوغفربيندونغ,die,,noun,,,new,0,
die Zusammenarbeit,التعاون,دي تسوزاممناربآيت,die,,noun,,,new,0,
die Zuschauerin,المتفرج,دي تسوشآورين,die,,noun,,,new,0,
die Zutat,المكون,دي تسوتات,die,,noun,,,new,0,
die Zwiebel,البصل,دي تسفيبل,die,,noun,,,new,0,
die Ärztin,الطبيب,دي يرتستين,die,,noun,,,new,0,
die Äußerung,البيان,دي أويسرونغ,die,,noun,,,new,0,
die Öffnungszeiten,ساعات العمل,دي وِففنونغزتسآيتن,die,,noun,,,new,0,
die Überraschung,المفاجأة,دي وبرراشونغ,die,,noun,,,new,0,
die Überschrift,العنوان,دي وبرشريفت,die,,noun,,,new,0,
die Übersetzerin,المترجم,دي وبرزِتسرين,die,,noun,,,new,0,
die Überstunde,العمل الإضافي,دي وبرزتونده,die,,noun,,,new,0,
die Übung,التمرين,دي وبونغ,die,,noun,,,new,0,
die/das Cola,الكولا,دي/داس كولا,,,phrase,,,new,0,
die/das Tram,الترام,دي/داس ترام,,,phrase,,,learning,20,
diese,هذا,ديزه,,,word,,,new,0,
dir,أنت,دير,,,word,,,new,0,
direkt,مباشر,ديرِكت,,,word,,,new,0,
dirigieren,سلوك,ديريغيرن,,,word,,,new,0,
diskutieren,يناقش,ديزكوتيرن,,,word,,,new,0,
doof,أحمق,دووف,,,word,,,new,0,
doppelt,مزدوج,دوببلت,,,word,,,new,0,
downloaden,تحميل,دوفنلوادن,,,word,,,new,0,
drankommen,حان دورك,درانكوممن,,,word,,,new,0,
draußen,الخارج,درآوسن,,,word,,,new,0,
drei,ثلاثة,درآي,,,word,,,new,0,
dreimal,ثلاث مرات,درآيمال,,,word,,,new,0,
dreizehn,ثلاثة عشر,درآيتسِهن,,,word,,,new,0,
dreißig,ثلاثون,درآيسيغ,,,word,,,new,0,
dringend,عاجل,درينغند,,,word,,,new,0,
dritt,ثالث,دريتت,,,word,,,new,0,
drucken,يضعط,دروكن,,,word,,,new,0,
drücken,يضعط,دروكن,,,word,,,new,0,
du,أنت,دو,,,word,,,new,0,
dumm,أحمق,دومم,,,word,,,new,0,
dunkel,مظلم,دونكل,,,word,,,new,0,
durch (+ A.),بواسطة (+ أ.),دورش (+ ا.),,,phrase,,,new,0,
duschen,دش,دوشن,,,word,,,new,0,
dürfen,يمكن,دورفن,,,word,,,new,0,
ebenso,أيضًا,ِبنزو,,,word,,,new,0,
echt,حقيقي,ِشت,,,word,,,new,0,
egal,لا يهم,ِغال,,,word,,,new,0,
ehrlich,أمين,ِهرليش,,,word,,,new,0,
eigene,ملك,آيغنه,,,word,,,new,0,
eilig,عجل,آيليغ,,,word,,,learning,31,
ein,أ,آين,,,word,,,new,0,
ein Paar,زوجان,آين باار,,,phrase,,,new,0,
einfach,ببساطة,آينفاخ,,,word,,,new,0,
einfallen,هيا تعال,آينفاللن,,,word,,,new,0,
einhalten,يحتفظ,آينهالتن,,,word,,,new,0,
einhundert,مائة,آينهوندرت,,,word,,,new,0,
einige,بعض,آينيغه,,,word,,,new,0,
einkaufen,التسوق,آينكآوفن,,,word,,,new,0,
einkaufen gehen,اذهب للتسوق,آينكآوفن غههن,,,phrase,,,new,0,
einladen,يدعو,آينلادن,,,word,,,new,0,
einmal,مرة واحدة,آينمال,,,word,,,new,0,
einpacken,علية,آينباكن,,,word,,,new,0,
eins,واحد,آينز,,,word,,,new,0,
einsammeln,يجمع,آينزامملن,,,word,,,new,0,
einschlafen,أنام,آينشلافن,,,word,,,new,0,
einsteigen,أدخل,آينزتآيغن,,,word,,,new,0,
eintausend,ألف,آينتآوزند,,,word,,,new,0,
einverstanden sein,للموافقة,آينفرزتاندن زآين,,,phrase,,,new,0,
elegant,رائع,لِغانت,,,word,,,new,0,
elf,أحد عشر,لف,,,word,,,new,0,
emotional,عاطفيا,ِموتسيونال,,,word,,,new,0,
empfangen,تلقى,ِمبفانغن,,,word,,,new,0,
empfehlen,يوصي,ِمبفِهلن,,,word,,,new,0,
enden,نهاية,ندن,,,word,,,new,0,
endlich,أخيراً,ندليش,,,word,,,new,0,
eng,عن قرب,نغ,,,word,,,new,0,
England,إنجلترا,نغلاند,,,word,,,new,0,
Englisch,إنجليزي,نغليش,,,word,,,new,0,
entdecken,يكتشف,نتدِكن,,,word,,,new,0,
entscheiden,يقرر,نتشآيدن,,,word,,,new,0,
entschuldigen,عذر,نتشولديغن,,,word,,,new,0,
entwickeln,يطور,نتفيكلن,,,word,,,new,0,
er,هو,إير,,,word,,,new,0,
erfolgreich,ناجح,رفولغرآيش,,,word,,,new,0,
ergänzen,اضف إليه,رغينتسن,,,word,,,new,0,
erinnern,يتذكر,ريننرن,,,word,,,new,0,
erkennen,يتعرف على,ركننن,,,word,,,new,0,
erklären,يشرح,ركليرن,,,word,,,new,0,
erkältet,بارد,ركيلتهت,,,word,,,new,0,
erlaubt sein,يُسمح به,رلآوبت زآين,,,phrase,,,new,0,
erledigen,مكتمل,رلِديغن,,,word,,,new,0,
erreichbar,يمكن الوصول إليه,ررآيشبار,,,word,,,new,0,
erschließen,يطور,رشليسن,,,word,,,new,0,
erste,أولاً,رزته,,,word,,,new,0,
erstmal,أولاً,رزتمال,,,word,,,new,0,
erwarten,يتوقع,رفارتن,,,word,,,new,0,
erzählen,يخبر,رتسيهلن,,,word,,,new,0,
eröffnen,يفتح,روِففنن,,,word,,,new,0,
es,هو - هي,إس,,,word,,,new,0,
essen,يأكل,ِززن,,,word,,,new,0,
etwas,شئ ما,ِتفاز,,,word,,,new,0,
euch,أنت,أويش,,,word,,,new,0,
euer,لك,أوير,,,word,,,new,0,
Europa,أوروبا,أويروبا,,,word,,,new,0,
Extra-,إضافي-,ِكسترا-,,,word,,,new,0,
fallen,يسقط,فاللن,,,word,,,new,0,
falsch,غير صحيح,فالش,,,word,,,new,0,
fantastisch,رائع,فانتازتيش,,,word,,,new,0,
faul,كسول,فآول,,,word,,,new,0,
fehlen,يفتقد,فِهلن,,,word,,,new,0,
fehlend,مفتقد,فِهلند,,,word,,,new,0,
feiern,احتفل,فآيرن,,,word,,,new,0,
feminin,المؤنث,فِمينين,,,word,,,new,0,
fernsehen,تلفزيون,فرنزِهن,,,word,,,new,0,
fertig,مكتمل,فرتيغ,,,word,,,new,0,
fest,بحزم,فِزت,,,word,,,new,0,
finanziell,ماليا,فينانتسيلل,,,word,,,new,0,
finden,يجد,فيندن,,,word,,,new,0,
fit,ملائم,فيت,,,word,,,new,0,
fleißig,مجتهد,فلآيسيغ,,,word,,,new,0,
fließend,طلِق,فليسند,,,word,,,new,0,
flüstern,همس,فلوزترن,,,word,,,new,0,
folgen,عواقب,فولغن,,,word,,,new,0,
folgend,التالي,فولغند,,,word,,,new,0,
formell,رسميا,فورملل,,,word,,,new,0,
formulieren,صياغة,فورموليرن,,,word,,,new,0,
fotografieren,تصوير,فوتوغرافيرن,,,word,,,new,0,
fragen,أسئلة,فراغن,,,word,,,new,0,
Frankreich,فرنسا,فرانكرآيش,,,word,,,new,0,
Französisch,فرنسي,فرانتسوِزيش,,,word,,,new,0,
Frau,امرأة,فرآو,,,word,,,new,0,
frei,حر,فرآي,,,word,,,new,0,
freihaben,حر,فرآيهابن,,,word,,,new,0,
freiwillig,طواعيةً,فرآيفيلليغ,,,word,,,new,0,
freuen,كن سعيدا,فرأوين,,,word,,,new,0,
freundlich,ودي,فرأويندليش,,,word,,,new,0,
frisch,طازج,فريش,,,word,,,new,0,
fröhlich,مبتهج,فروِهليش,,,word,,,learning,29,
früh,مبكر,فروه,,,word,,,new,0,
frühstücken,إفطار,فروهزتوكن,,,word,,,new,0,
funktionieren,وظيفة,فونكتسيونيرن,,,word,,,new,0,
furchtbar,رهيب,فورشتبار,,,word,,,new,0,
Fußball,كرة القدم,فوسبالل,,,word,,,new,0,
fühlen,يشعر,فوهلن,,,word,,,new,0,
führen,يقود,فوهرن,,,word,,,new,0,
fünf,خمسة,فونف,,,word,,,new,0,
fünfzehn,خمسة عشر,فونفتسِهن,,,word,,,new,0,
fünfzig,خمسون,فونفتسيغ,,,word,,,new,0,
für (+A.),لـ (+أ.),فوير (+ا.),,,phrase,,,new,0,
ganz,تمامًا,غانتس,,,word,,,new,0,
gar,حتى,غار,,,word,,,new,0,
geben,يعطي,غهبن,,,word,,,new,0,
geboren,وُلِدّ,غهبورن,,,word,,,new,0,
geehrt,تم تكريمنا,غهِهرت,,,word,,,new,0,
gefallen,سقط,غهفاللن,,,word,,,new,0,
gefährlich,خطير,غهفيهرليش,,,word,,,new,0,
gegen (+ A.),ضد (+ أ.),غهغن (+ ا.),,,phrase,,,new,0,
gegenseitig,بعضها البعض,غهغنزآيتيغ,,,word,,,new,0,
gegenüber,عكس,غهغنوبر,,,word,,,new,0,
gehen,يذهب,غههن,,,word,,,new,0,
gehören,ينتمي ل,غههورن,,,word,,,new,0,
gelb,أصفر,غلب,,,word,,,new,0,
gemeinsam,معاً,غهمآينزام,,,word,,,new,0,
gemütlich,مريح,غهموتليش,,,word,,,new,0,
genau,بالضبط,غنآو,,,word,,,new,0,
genauso,تمامًا كما,غنآوزو,,,word,,,new,0,
genehmigen,للسماح,غنِهميغن,,,word,,,new,0,
genervt,متضايق,غنرفت,,,word,,,new,0,
genießen,يتمتع,غنيسن,,,word,,,new,0,
genug,كافٍ,غنوغ,,,word,,,new,0,
Geografie,الجغرافيا,غهوغرافي,,,word,,,new,0,
geradeaus,مباشرة للأمام,غرادِآوز,,,word,,,new,0,
gern,بكل سرور,غرن,,,word,,,new,0,
gerne,بكل سرور,غرنه,,,word,,,new,0,
Geschichte,قصة,غهشيشته,,,word,,,new,0,
geschlossen,مغلق,غهشلوززن,,,word,,,new,0,
gestalten,تصميم,غهزتالتن,,,word,,,new,0,
gestern,أمس,غيسترن,,,word,,,new,0,
gestresst,متوتر,غهزترِززت,,,word,,,new,0,
gesund,صحيح,غهزوند,,,word,,,new,0,
getrennt,منفصل,غهترننت,,,word,,,new,0,
gewinnen,يفوز,غهفيننن,,,word,,,new,0,
gewöhnen,اعتد على,غهفوِهنن,,,word,,,new,0,
geöffnet,يفتح,غهوِففنِت,,,word,,,new,0,
gleichfalls,ولك مثله,غلآيشفاللز,,,word,,,new,0,
glücklich,سعيد,غلوكليش,,,word,,,new,0,
Grafik,رسم بياني,غرافيك,,,word,,,new,0,
gratulieren,تهانينا,غراتوليرن,,,word,,,new,0,
grau,رمادي,غرآو,,,word,,,new,0,
Griechenland,اليونان,غريشنلاند,,,word,,,new,0,
grillen,الشواء,غريللن,,,word,,,new,0,
groß,كبير,غروس,,,word,,,new,0,
grüezi,مرحبًا,غروِتسي,,,word,,,new,0,
grün,أخضر,غرون,,,word,,,new,0,
gründen,وجد,غروندن,,,word,,,new,0,
grüß Gott,يوم جيد,غروس غوتت,,,phrase,,,new,0,
grüßen,تحية,غروسن,,,word,,,new,0,
gut,جيد,غوت,,,word,,,new,0,
gute Besserung,نتمنى لك الشفاء العاجل,غوته بهززرونغ,,,phrase,,,new,0,
gute Nacht,طاب مساؤك,غوته ناخت,,,phrase,,,new,0,
guten Abend,مساء الخير,غوتن ابند,,,phrase,,,new,0,
guten Appetit,شهية طيبة,غوتن اببهتيت,,,phrase,,,new,0,
guten Morgen,صباح الخير,غوتن مورغن,,,phrase,,,new,0,
guten Tag,يوم جيد,غوتن تاغ,,,phrase,,,new,0,
gültig,صالح,غولتيغ,,,word,,,new,0,
günstig,رخيص,غونزتيغ,,,word,,,new,0,
haben,يملك,هابن,,,word,,,new,0,
halb,نصف,هالب,,,word,,,new,0,
hallo,مرحبًا,هالو,,,word,,,new,0,
heiraten,الزواج,هآيراتن,,,word,,,new,0,
heiß,حار,هآيس,,,word,,,new,0,
heißen,يُطلق عليه اسم,هآيسن,,,word,,,new,0,
hektisch,محموم,هِكتيش,,,word,,,new,0,
hell,ساطع,هلل,,,word,,,new,0,
her,ها,هر,,,word,,,new,0,
Herr,السيد,هرر,,,word,,,new,0,
herunterladen,تحميل,هرونترلادن,,,word,,,new,0,
herzlich,من القلب,هرتسليش,,,word,,,new,0,
heute,اليوم,هويته,,,word,,,new,0,
hey,يا,هِي,,,word,,,new,0,
hi,أهلاً,هي,,,word,,,new,0,
hier,هنا,هير,,,word,,,new,0,
hilfsbereit,متعاون,هيلفزبرآيت,,,word,,,new,0,
hin und zurück,رحلة ذهابًا وإيابًا,هين أوند تسوروك,,,phrase,,,new,0,
hinlegen,اضطجع,هينلِغن,,,word,,,new,0,
hinter (+ D.),خلف (+ د.),هينتر (+ د.),,,phrase,,,new,0,
hintereinander,واحد تلو الآخر,هينترآيناندر,,,word,,,new,0,
hinterlassen,اترك وراءك,هينترلاززن,,,word,,,new,0,
hoch,عالي,هوخ,,,word,,,new,0,
hochfahren,قم بتشغيل الجهاز,هوخفاهرن,,,word,,,new,0,
hochladen,رفع,هوخلادن,,,word,,,new,0,
hoffen,يأمل,هوففن,,,word,,,new,0,
hoffentlich,أملاً,هوففنتليش,,,word,,,new,0,
holen,أحضر,هولن,,,word,,,new,0,
hundert,مائة,هوندرت,,,word,,,new,0,
hungrig,جائع,هونغريغ,,,word,,,new,0,
hurra,يا هلا,هوررا,,,word,,,new,0,
husten,سعال,هوزتن,,,word,,,new,0,
hässlich,قبيح,هيززليش,,,word,,,new,0,
häufig,مرارًا,هأويفيغ,,,word,,,new,0,
höflich,مؤدب,هوِفليش,,,word,,,new,0,
hören,يسمع,هورن,,,word,,,new,0,
ich,أنا,إيش,,,word,,,new,0,
ideal,مثالي,يدِال,,,word,,,new,0,
ihn,له,يهن,,,word,,,new,0,
Ihnen,هم,يهنن,,,word,,,new,0,
Ihr,ها,إير,,,word,,,new,0,
immer,دائماً,يممر,,,word,,,new,0,
in,في,إن,,,word,,,new,0,
in (+ D.),في (+ د.),إن (+ د.),,,phrase,,,new,0,
individuell,بشكل فردي,ينديفيدولل,,,word,,,new,0,
Indonesien,أندونيسيا,يندونِزين,,,word,,,new,0,
Indonesisch,إندونيسيا,يندونِزيش,,,word,,,new,0,
Informatik,علوم الحاسوب,ينفورماتيك,,,word,,,new,0,
informell,غير رسمي,ينفورملل,,,word,,,new,0,
informieren,يخبر,ينفورميرن,,,word,,,new,0,
inhalieren,استنشق,ينهاليرن,,,word,,,new,0,
inoffiziell,بشكل غير رسمي,ينوففيتسيلل,,,word,,,new,0,
insgesamt,إجمالاً,ينزغهزامت,,,word,,,overdue,25,
interessant,مثير للاهتمام,ينترِززانت,,,word,,,new,0,
interessieren,ذات أهمية,ينترِززيرن,,,word,,,new,0,
international,دولي,ينترناتسيونال,,,word,,,new,0,
inzwischen,في هذه الأثناء,ينتسفيشن,,,word,,,new,0,
Italien,إيطاليا,يتالين,,,word,,,new,0,
Italienisch,إيطالي,يتالينيش,,,word,,,new,0,
japan,اليابان,يابان,,,word,,,new,0,
japanisch,اليابانية,يابانيش,,,word,,,new,0,
je,كل,يه,,,word,,,new,0,
jede,كل,يِده,,,word,,,new,0,
jemand,شخص ما,يِماند,,,word,,,new,0,
jetzt,الآن,يِتست,,,word,,,new,0,
jeweils,على التوالى,يِفآيلز,,,word,,,new,0,
jobben,وظيفة,يوببن,,,word,,,new,0,
joggen,هرولة,يوغغن,,,word,,,new,0,
Joghurt,الزبادي,يوغهورت,,,word,,,new,0,
kalt,بارد,كالت,,,word,,,new,0,
kaputt,مكسور,كابوتت,,,word,,,new,0,
Karate,الكاراتيه,كاراته,,,word,,,new,0,
kaufen,يشتري,كآوفن,,,word,,,new,0,
kaum,بالكاد,كآوم,,,word,,,new,0,
kein,لا,كاين,,,word,,,new,0,
Keks,بسكويت,كهكز,,,word,,,new,0,
Kellner,النادل,كللنر,,,word,,,new,0,
klappen,النجاح,كلاببن,,,word,,,new,0,
klar,واضح,كلار,,,word,,,new,0,
klein,صغير,كلآين,,,word,,,new,0,
klettern,تسلق,كلِتترن,,,word,,,new,0,
klingen,صوت,كلينغن,,,word,,,new,0,
klopfen,طرق,كلوبفن,,,word,,,new,0,
ko.,كو.,كو.,,,sentence,,,new,0,
kochen,يطبخ,كوخن,,,word,,,new,0,
komisch,مضحك,كوميش,,,word,,,new,0,
kommen,يأتي,كوممن,,,word,,,new,0,
kommentieren,تعليق,كوممنتيرن,,,word,,,new,0,
komplett,بالكامل,كومبلِتت,,,word,,,new,0,
konjugiert,مترافق,كونيوغيرت,,,word,,,new,0,
kontrollieren,يتحكم,كونترولليرن,,,word,,,new,0,
konzentrieren,ركز,كونتسنتريرن,,,word,,,new,0,
kopieren,ينسخ,كوبيرن,,,word,,,new,0,
korrigieren,صحيح,كورريغيرن,,,word,,,new,0,
krank,مريض,كرانك,,,word,,,new,0,
kreativ,مبدع,كرِاتيف,,,word,,,new,0,
kreisen,يدور,كرآيزن,,,word,,,new,0,
kriegen,يحصل,كريغن,,,word,,,new,0,
kritisch,شديد الأهمية,كريتيش,,,word,,,new,0,
Kunsterziehung,التربية الفنية,كونزترتسيهونغ,,,word,,,new,0,
kurz,قصير,كورتس,,,word,,,new,0,
können,يستطيع,كوننن,,,word,,,new,0,
kümmern,يعتني,كوممرن,,,word,,,new,0,
lachen,يضحك,لاخن,,,word,,,new,0,
lang,طويل,لانغ,,,word,,,new,0,
lange,طويل,لانغه,,,word,,,new,0,
langsam,سريع,لانغزام,,,word,,,new,0,
langweilen,ثقب,لانغفآيلن,,,word,,,new,0,
langweilig,ممل,لانغفآيليغ,,,word,,,new,0,
Latein,اللاتينية,لاتآين,,,word,,,new,0,
laufen,يجري,لآوفن,,,word,,,new,0,
laut,عالي,لآوت,,,word,,,new,0,
lebendig,حيوي,لِبنديغ,,,word,,,new,0,
lebenslang,حياة,لِبنزلانغ,,,word,,,new,0,
leer,فارغ,لِر,,,word,,,new,0,
leeren,فارغ,لِرن,,,word,,,new,0,
leidItun,آسف يا إيتون,لآيديتون,,,word,,,new,0,
leise,هادئ,لآيزه,,,word,,,new,0,
lernen,يتعلم,لرنن,,,word,,,new,0,
lesen,يقرأ,لِزن,,,word,,,new,0,
letzte,آخر,لِتسته,,,word,,,new,0,
lieb,عزيزي,ليب,,,word,,,new,0,
lieben,حب,ليبن,,,word,,,new,0,
Lieblings-,مفضل-,ليبلينغز-,,,word,,,new,0,
liegen,يضع,ليغن,,,word,,,new,0,
lila,أرجواني,ليلا,,,word,,,new,0,
links,غادر,لينكز,,,word,,,new,0,
logisch,منطقي,لوغيش,,,word,,,new,0,
los sein,ارحل,لوز زآين,,,phrase,,,new,0,
losfahren,يبدأ,لوزفاهرن,,,word,,,new,0,
losgehen,يبدأ,لوزغههن,,,word,,,new,0,
lustig,مضحك,لوزتيغ,,,word,,,new,0,
lächeln,يبتسم,ليشلن,,,word,,,new,0,
länger,أطول,لينغر,,,word,,,new,0,
löschen,يمسح,لوِشن,,,word,,,new,0,
machen,يصنع,ماخن,,,word,,,new,0,
mailen,بريد إلكتروني,مآيلن,,,word,,,new,0,
malen,طلاء,مالن,,,word,,,new,0,
man,رجل,مان,,,word,,,new,0,
manche,بعض,مانشه,,,word,,,new,0,
manchmal,أحيانا,مانشمال,,,word,,,new,0,
markieren,علامة,ماركيرن,,,word,,,new,0,
maskulin,مذكر,مازكولين,,,word,,,new,0,
Mathe,الرياضيات,ماته,,,word,,,new,0,
Mathematik,الرياضيات,ماتهماتيك,,,word,,,new,0,
maximal,أقصى,ماكسيمال,,,word,,,new,0,
Medizin,الدواء,مِديتسين,,,word,,,new,0,
mehrere,عديد,مِهرره,,,word,,,new,0,
mehrmals,عدة مرات,مِهرمالز,,,word,,,new,0,
mein,لي,مآين,,,word,,,new,0,
meinen,يقصد,مآينن,,,word,,,new,0,
melden,تقرير,ملدن,,,word,,,new,0,
merken,يتذكر,مركن,,,word,,,new,0,
Mexiko,المكسيك,مِكسيكو,,,word,,,new,0,
mich,أنا,ميش,,,word,,,new,0,
mieten,إيجار,ميتن,,,word,,,new,0,
minus,ناقص,مينوز,,,word,,,new,0,
mir,أنا,مير,,,word,,,new,0,
mischen,مزج,ميشن,,,word,,,new,0,
mit (+ D.),مع (+ د.),ميت (+ د.),,,phrase,,,new,0,
mitbringen,أحضر معك,ميتبرينغن,,,word,,,new,0,
mithelfen,يساعد,ميتلفن,,,word,,,new,0,
mitkommen,تعال معي,ميتكوممن,,,word,,,new,0,
mitlesen,اقرأ معنا,ميتلِزن,,,word,,,new,0,
mitmachen,يشارك,ميتماخن,,,word,,,new,0,
mitnehmen,اصطحب معك,ميتنِهمن,,,word,,,new,0,
mitsprechen,أدل برأيك,ميتزبرِشن,,,word,,,new,0,
mittags,منتصف النهار,ميتتاغز,,,word,,,new,0,
mitteilen,يتواصل,ميتتآيلن,,,word,,,new,0,
mobil,متحرك,موبيل,,,word,,,new,0,
modern,حديث,مودرن,,,word,,,new,0,
moin,صباح الخير,موين,,,word,,,new,0,
morgen,صباح,مورغن,,,word,,,new,0,
morgens,صباح,مورغنز,,,word,,,new,0,
männlich,مذكر,ميننليش,,,word,,,new,0,
mögen,يحب,موِغن,,,word,,,new,0,
möglich,ممكن,موِغليش,,,word,,,new,0,
müde,مرهق,موده,,,word,,,new,0,
müssen,يجب,موززن,,,word,,,new,0,
nach Hause,بيت,ناخ هآوزه,,,phrase,,,new,0,
nach (+ D.),بعد (+ د.),ناخ (+ د.),,,phrase,,,new,0,
nachmittags,بعد الظهر,ناخميتتاغز,,,word,,,new,0,
nachsprechen,يكرر,ناخزبرِشن,,,word,,,new,0,
nachts,ليلاً,ناختز,,,word,,,new,0,
nah,يغلق,ناه,,,word,,,new,0,
neben (+ D.),بجوار (+ د.),نيبن (+ د.),,,phrase,,,new,0,
nebeneinander,جنبا إلى جنب,نِبنآيناندر,,,word,,,new,0,
negativ,سلبي,نِغاتيف,,,word,,,new,0,
nehmen,يأخذ,نِهمن,,,word,,,new,0,
nein,لا,ناين,,,word,,,new,0,
nennen,لتسمية,نننن,,,word,,,new,0,
nerven,ضايق,نرفن,,,word,,,new,0,
nervös,متوتر,نرفوِز,,,word,,,new,0,
nett,لطيف - جيد,نِتت,,,word,,,new,0,
neu,جديد,نأوي,,,word,,,new,0,
neun,تسعة,نأوين,,,word,,,new,0,
neunzehn,تسعة عشر,نأوينتسِهن,,,word,,,new,0,
neunzig,تسعون,نأوينتسيغ,,,word,,,new,0,
neutral,حيادي,نأويترال,,,word,,,new,0,
neutrum,خصى,نأويتروم,,,word,,,new,0,
nicht,لا,نيشت,,,word,,,new,0,
nichtnur,ليس فقط,نيشتنور,,,word,,,new,0,
nichts,لا شئ,نيشتز,,,word,,,new,0,
nie,أبداً,ني,,,word,,,new,0,
niemand,لا احد,نيماند,,,word,,,new,0,
nirgends,لا مكان,نيرغندز,,,word,,,new,0,
noch einmal,مرة أخرى,نوخ آينمال,,,phrase,,,new,0,
noch mal,مرة أخرى,نوخ مال,,,phrase,,,learning,14,
Nord-,شمال,نورد-,,,word,,,new,0,
normal,طبيعي,نورمال,,,word,,,new,0,
normalerweise,عادة,نورمالرفآيزه,,,word,,,new,0,
notieren,ملحوظة,نوتيرن,,,word,,,new,0,
null,صفر,نولل,,,word,,,new,0,
nummerieren,رقم,نوممريرن,,,word,,,new,0,
nun,لذا,نون,,,word,,,new,0,
nurnoch,فقط,نورنوخ,,,word,,,new,0,
nutzen,للاستخدام,نوتسن,,,word,,,new,0,
nächste,التالي,نيشزته,,,word,,,new,0,
nützlich,مفيد,نوتسليش,,,word,,,new,0,
oben,فوق,وبن,,,word,,,new,0,
oder,أو,أودر,,,word,,,new,0,
offen,يفتح,وففن,,,word,,,new,0,
offiziell,رسمياً,وففيتسيلل,,,word,,,new,0,
offline,غير متصل بالإنترنت,وففلينه,,,word,,,new,0,
oft,غالباً,وفت,,,word,,,new,0,
